lat,lon
45.35,11.5
45.65,13.700005
47.5,7.4000015
47.5,7.6500015
47.5,7.9000015
45.65,13.950005
44.450005,10.200005
44.450005,10.450005
44.450005,10.700005
44.450005,10.950005
44.550003,5.050003
44.550003,5.300003
44.550003,5.550003
44.550003,5.800003
46.050003,13.150002
46.050003,13.400002
47.15,13.650002
46.050003,13.650002
46.050003,13.900002
47.15,13.900002
45.15,12.050003
45.15,12.300003
47.300003,13.200005
45.75,5.0
45.75,5.25
45.75,5.5
45.75,5.75
45.300003,13.599998
45.300003,13.849998
46.65,11.050003
46.65,11.300003
46.65,11.550003
47.700005,13.0
47.700005,13.25
47.700005,13.5
47.700005,13.75
44.85,11.200005
44.85,11.450005
44.85,11.700005
44.85,11.950005
47.800003,8.099998
47.800003,8.349998
47.800003,8.599998
47.800003,8.849998
46.800003,12.099998
46.800003,12.349998
46.800003,12.599998
46.800003,12.849998
45.25,6.4000015
45.25,6.6500015
45.1,9.200005
45.1,9.450005
45.1,9.700005
45.1,9.950005
44.35,10.050003
44.35,10.300003
44.35,10.550003
44.35,10.800003
47.9,5.0999985
47.9,5.3499985
47.9,5.5999985
47.9,5.8499985
45.050003,12.200005
45.200005,13.800003
47.25,8.150002
47.25,8.400002
47.25,8.650002
47.25,8.900002
46.9,11.650002
46.9,11.900002
46.9,11.400002
47.6,13.849998
46.700005,12.550003
46.700005,12.800003
46.700005,12.050003
47.550003,6.050003
47.550003,6.300003
47.550003,6.550003
47.550003,6.800003
46.75,6.800003
46.75,6.050003
46.75,6.300003
46.75,6.550003
45.0,5.0999985
45.0,5.3499985
45.0,5.5999985
45.0,5.8499985
45.950005,6.1500015
45.950005,6.4000015
45.950005,6.6500015
44.75,8.0
44.75,8.25
44.75,8.5
44.75,8.75
45.85,13.0
45.85,13.25
45.85,13.5
45.85,13.75
44.950005,12.200005
44.950005,12.450005
44.65,10.150002
44.65,10.400002
44.65,10.650002
44.65,10.900002
45.35,12.099998
45.65,14.050003
45.65,14.300003
45.65,14.550003
45.65,14.800003
47.35,11.050003
47.35,11.300003
47.35,11.550003
47.35,11.800003
44.450005,11.050003
44.450005,11.300003
44.450005,11.550003
44.450005,11.800003
46.050003,14.75
46.050003,14.0
46.050003,14.25
46.050003,14.5
47.15,14.0
47.15,14.25
47.15,14.5
47.15,14.75
47.300003,14.300003
46.5,5.0
46.5,5.75
46.5,5.5
47.300003,14.550003
47.300003,14.800003
46.5,5.25
45.6,11.200005
47.700005,14.099998
47.700005,14.349998
47.700005,14.599998
47.700005,14.849998
45.6,11.450005
45.6,11.700005
45.6,11.950005
44.85,12.050003
46.15,6.2000046
46.15,6.4500046
46.15,6.7000046
44.700005,11.150002
44.700005,11.400002
45.550003,14.200005
45.550003,14.450005
45.550003,14.700005
44.700005,11.650002
45.1,10.300003
44.700005,11.900002
44.800003,6.0
44.800003,6.75
45.550003,14.950005
47.75,10.900002
47.75,10.150002
47.75,10.400002
47.75,10.650002
45.050003,13.800003
47.25,9.0
47.25,9.25
47.25,9.5
47.25,9.75
46.9,12.75
45.5,7.8499985
46.4,11.099998
46.4,11.349998
46.4,11.599998
47.800003,6.0999985
47.800003,6.3499985
47.800003,6.5999985
47.800003,6.8499985
44.75,9.099998
44.75,9.349998
44.75,9.599998
44.75,9.849998
45.85,14.099998
45.85,14.349998
45.85,14.599998
45.85,14.849998
47.85,13.050003
47.85,13.300003
47.85,13.800003
47.800003,8.900002
47.800003,8.150002
47.800003,8.400002
47.800003,8.650002
44.65,11.0
44.65,11.25
44.65,11.5
44.65,11.75
46.15,10.700005
46.15,10.950005
47.300003,7.75
47.300003,7.0
47.300003,7.25
47.300003,7.5
44.5,6.4000015
44.5,6.9000015
46.300003,11.5
46.300003,11.75
46.300003,11.0
44.5,6.1500015
46.300003,11.25
48.0,5.050003
48.0,5.300003
48.0,5.550003
48.0,5.800003
47.0,5.2000046
47.0,5.4500046
47.0,5.7000046
47.0,5.9500046
44.5,8.200005
45.550003,5.0999985
45.550003,5.3499985
45.550003,5.5999985
45.550003,5.8499985
47.6,13.150002
47.6,13.400002
47.6,13.900002
45.6,12.050003
45.6,12.300003
45.6,12.550003
45.6,12.800003
47.4,14.200005
47.4,14.950005
44.700005,12.0
47.75,11.5
47.75,11.75
47.75,11.0
47.75,11.25
46.200005,11.200005
46.200005,11.450005
46.200005,11.700005
46.200005,11.950005
44.35,5.7000046
44.35,5.9500046
47.25,10.599998
47.25,10.849998
46.9,13.349998
46.9,13.599998
46.9,13.849998
44.4,7.2000046
44.4,7.4500046
